Lead ID,First Name,Last Name,Email,Phone,Company,Lead Status,Lead Source,Created Date,Country
00QOM3H981QWCHL,Amy,Robles,karensanchez@yahoo.com,(201)363-1282x3522,Williams PLC,Working - Contacted,Web,2024-09-25,Senegal
00Q27GHUZ3FMMPJ,Marie,Braun,allisonlee@mitchell.biz,176-578-2967x7828,Armstrong Inc,Working - Contacted,Other,2024-09-06,Congo
00Q1JPXZ6RRX4C4,Alvin,Reed,ftanner@hotmail.com,+1-072-341-6998,Burton-Andrews,Working - Contacted,Other,2024-10-18,Georgia
00QSUIYH0G71795,Felicia,Barnes,davistheresa@neal.com,001-641-817-1508x654,Krueger-Cooper,Open - Not Contacted,Purchased List,2024-04-04,Heard Island and McDonald Islands
00QABXFYJ5QIS5M,Anthony,Miles,williammorgan@hotmail.com,609.521.7978x8772,Chambers-Simon,Closed - Not Converted,Purchased List,2024-05-15,Malta
00QJ01W7VI80D9X,Kimberly,Lopez,mjohnson@cole-taylor.info,001-114-715-3504x755,Mays LLC,Working - Contacted,Phone Inquiry,2024-07-23,Reunion
00Q9OBF887LPKWQ,Lori,Martin,nataliepineda@hotmail.com,144-442-1611x50560,Collins-Garcia,Working - Contacted,Web,2024-07-09,French Guiana
00Q0QJQFFH76TM6,Laura,Snyder,hughesgina@lowery.biz,(238)806-7381x427,"Murphy, Mccormick and Wilson",Working - Contacted,Other,2024-02-15,Sudan
00QCSYCNO8JOCT3,Norma,Frank,shawkyle@richardson-hicks.com,6544297571,Perry Ltd,Working - Contacted,Phone Inquiry,2024-01-23,Hungary
00QLCRB1SDSMEHG,Christine,Wu,ambermaddox@collier.net,381-048-4820,Glass-Hunter,Closed - Converted,Web,2024-10-28,Guernsey
