Record ID,Account ID,First Name,Last Name,Email,Phone_person,Company,Lead Status,Lead Source,Created Date_person,Country_person,Record Type,Account Name,Phone_account,Website,Industry,Account Type,Billing Address,Created Date_account,Country_account
00QMIEATI24GEO3,001BOMRTWE1GO4V,David,Tate,jennifer91@yahoo.com,(451)798-8146x9899,"Ruiz, Campbell and Sexton",Closed - Not Converted,Partner Referral,2024-06-26,Netherlands,Lead,Cook Ltd,939.239.0258,https://payne.biz/,Finance,Customer,"61576 Thompson Drive
South Melissaview, MN 04490",2024-03-10,Congo
00Q9UZQS808J66E,001EFFFJYOGM0D9,Trevor,Bradshaw,wendyfischer@gmail.com,(935)960-0132x2966,Alexander and Sons,Closed - Converted,Partner Referral,2024-08-21,Cook Islands,Lead,"Griffin, Rodriguez and Guerrero",138-006-7459,https://hobbs-powell.com/,Retail,Prospect,"635 David Highway
South Andrew, MI 96093",2024-03-05,Papua New Guinea
00QCCZ9FREV0KZG,001ZJ7MU65KC1SZ,Brandon,Rubio,webbtonya@hotmail.com,(406)709-6026,Allen Ltd,Closed - Not Converted,Other,2024-02-08,Macedonia,Lead,Davis-Smith,+1-841-517-2368x005,http://www.castro-young.com/,Finance,Customer,"17384 John Common Suite 590
Rebeccashire, VT 59342",2024-04-14,Czech Republic
00QFNE3AXRNV5FA,001MM3030266T5L,Eric,Deleon,ericaguirre@riggs.net,141-435-0257x3923,Hull-Brown,Working - Contacted,Purchased List,2024-01-01,Malawi,Lead,Woodward LLC,368-839-7242,http://www.dougherty.net/,Healthcare,Prospect,"151 Scott Road Suite 586
Port Olivia, MO 30246",2024-09-08,Oman
00Q2WHM2YSW8W1X,001W3QNKHK6B9BA,Brian,Gilbert,becky96@hotmail.com,001-256-639-1784x902,"Henderson, Turner and Gonzalez",Closed - Converted,Other,2024-12-03,Ghana,Lead,Gibbs-Walls,0536595249,http://anderson-sanders.org/,Education,Vendor,"716 Poole Forges
Bradystad, NM 85994",2024-08-04,Palau
00QBND6FSH4MMKM,001XZ8TMUAP29JA,Michelle,Long,richardsolis@yahoo.com,+1-628-280-1187x93426,Velasquez PLC,Closed - Not Converted,Phone Inquiry,2024-02-08,Swaziland,Lead,"Johnson, Butler and Terry",281.353.1602,http://hawkins-walker.info/,Finance,Prospect,"9308 Petty Gardens
West Kimberly, TX 11287",2024-05-15,Croatia
00Q35RSEJY162QS,001S1CYGP4DDNG9,Cheryl,Wang,tlarson@hotmail.com,001-283-267-9174x460,Ryan-Fletcher,Closed - Converted,Web,2024-01-14,Portugal,Lead,"Jones, Vincent and Barber",791.634.4813x15283,https://richardson.com/,Education,Partner,"80224 Flores Inlet
Bryantstad, DC 50610",2024-12-21,Norway
00Q7MWB1GF7TSWQ,001MM3030266T5L,Samantha,Kennedy,epalmer@swanson.info,583.783.6914,Brown-Thompson,Open - Not Contacted,Phone Inquiry,2024-09-17,Hong Kong,Lead,Woodward LLC,368-839-7242,http://www.dougherty.net/,Healthcare,Prospect,"151 Scott Road Suite 586
Port Olivia, MO 30246",2024-09-08,Oman
00QGA9PZ1430AQ8,001N2W3PT3I6F20,Antonio,Lane,kbraun@hotmail.com,+1-949-172-9214,"Barr, Rose and Holmes",Open - Not Contacted,Partner Referral,2024-11-22,Mauritania,Lead,Martinez Group,(037)096-3123x4944,https://williams.org/,Retail,Partner,"3972 Johnson Stravenue
Lake Tonya, KY 83953",2024-10-04,Mauritius
00QS0DCHE2EQY5B,001XT8SYTUOLA83,Angela,Cordova,michael66@gmail.com,009.323.1682,Parker Inc,Working - Contacted,Purchased List,2024-11-08,Switzerland,Lead,Gomez-White,(453)958-8795x116,http://cooley-alvarez.com/,Education,Customer,"4934 Daniel Lake
North Yvette, LA 70766",2024-10-05,Tuvalu
00Q63QT4EQ0DLZ5,001X9V5078JYKYK,Alison,Rodriguez,wholland@gmail.com,442-115-7396,Nelson Group,Closed - Not Converted,Web,2024-08-10,New Zealand,Lead,Stanley Inc,649-007-9329x82528,http://www.robertson.biz/,Finance,Prospect,"266 Jeffery Gateway
Burnstown, UT 53313",2024-09-17,Kyrgyz Republic
00QWV7CQ8NFMRMY,001D8T0SB01X4FT,Jim,Mosley,jenna78@ruiz-moore.biz,5496591468,Reyes LLC,Closed - Not Converted,Web,2024-09-14,Guinea,Lead,Wright-Sutton,(893)785-7248x89641,https://www.hendrix.com/,Manufacturing,Prospect,"92566 Brown Cove Apt. 394
North Ashley, ND 82185",2024-11-30,Chile
00Q7J479CRH169I,0010WWL2KIRWSNE,John,Salinas,adriennebrown@graham-johnson.com,1188681590,"Hawkins, Boyer and Benton",Closed - Converted,Other,2024-05-28,New Zealand,Lead,"West, Jones and Ramirez",(508)769-6146x827,http://www.wells.com/,Retail,Vendor,"25387 Christopher Turnpike Apt. 862
East Laurieburgh, CO 49061",2024-10-11,Azerbaijan
00QSZCJRY6BQKZ0,001C3IYYQB2W3YX,Kaitlin,Waters,rebeccacordova@gmail.com,176-282-3073x08807,Warren-Schmitt,Open - Not Contacted,Phone Inquiry,2024-02-04,Panama,Lead,"Ramirez, Parker and Miller",994.253.8119,http://www.higgins.com/,Healthcare,Partner,"PSC 1483, Box 2540
APO AP 44709",2024-01-24,Kuwait
00QPRJE94OX2E5B,001S1CYGP4DDNG9,Harold,Boyd,amanda72@gmail.com,001-168-009-7879x020,"Brennan, Edwards and Williams",Open - Not Contacted,Phone Inquiry,2024-07-29,Central African Republic,Lead,"Jones, Vincent and Barber",791.634.4813x15283,https://richardson.com/,Education,Partner,"80224 Flores Inlet
Bryantstad, DC 50610",2024-12-21,Norway
00QBMP55EJK0KKG,0016I3LVQQHPBC9,Roberto,Ray,xgarrett@gmail.com,942-008-1402,Mason Inc,Working - Contacted,Purchased List,2024-07-30,Macedonia,Lead,"Foster, Murphy and Lozano",+1-568-318-8824x07351,https://chandler-bradley.org/,Education,Partner,"30217 Oconnell Plains
East Bonniefurt, VA 34254",2024-10-16,Palau
00Q7VGUKLGY86SB,001W6GECZNTRYYL,Sophia,Rogers,christian39@rojas.biz,(113)930-7025x29562,Meza-Shaw,Closed - Converted,Web,2024-11-28,American Samoa,Lead,Gray-Smith,881.265.7772,http://boone.com/,Finance,Vendor,"331 Peter Villages Apt. 222
West Kim, SC 08872",2024-06-07,Netherlands Antilles
00QU2E28T1WAWT3,0010Q22219SK1VA,Theresa,George,kcarter@lopez.com,099.224.1322x83616,Dixon-Atkins,Working - Contacted,Other,2024-07-08,Ghana,Lead,Cruz Group,597-767-9717x87454,https://nelson.com/,Technology,Partner,"72144 Lucas Causeway Apt. 387
Hollyburgh, IA 40723",2024-10-13,Liechtenstein
00QZP2IUNQDXT45,0012YEU42DN2YOI,Nathan,Ross,wrightanna@hotmail.com,+1-111-563-0674x691,Warren-Crawford,Open - Not Contacted,Phone Inquiry,2024-07-09,Uganda,Lead,Steele-Bennett,001-917-413-9878x6693,http://morgan.biz/,Retail,Vendor,"9751 Walker Lodge Suite 908
Robertfort, IN 74892",2024-08-06,United States Virgin Islands
00QYS3D6DRTT2ZU,001M1K8JBUQ2JDJ,Emily,Maddox,hesterjason@hotmail.com,+1-816-540-3343x507,Black PLC,Working - Contacted,Partner Referral,2024-03-30,Tuvalu,Lead,Oconnor-Guzman,+1-592-472-2601,https://hines-lopez.com/,Healthcare,Customer,"77655 Valerie Circle Apt. 442
Claudiafurt, WY 40473",2024-04-22,Nicaragua
00QTXT9Y2L2HE6L,001KCN48RN2CR5Y,Heather,Griffin,flee@smith.com,(538)710-8054,English-Martinez,Working - Contacted,Purchased List,2024-07-21,Samoa,Lead,Thomas Ltd,+1-098-605-3324,http://www.baxter-woods.com/,Manufacturing,Partner,"757 Smith Crossroad Apt. 767
Lake Taylor, MD 19325",2024-03-13,Djibouti
00Q03CPGE64SPBD,001M1K8JBUQ2JDJ,Tanner,Rodriguez,fwright@gmail.com,001-018-168-1634,Sanders-Fletcher,Closed - Converted,Web,2024-01-18,San Marino,Lead,Oconnor-Guzman,+1-592-472-2601,https://hines-lopez.com/,Healthcare,Customer,"77655 Valerie Circle Apt. 442
Claudiafurt, WY 40473",2024-04-22,Nicaragua
00QQ4OSNOOENST4,001EP89O429SJBH,Charles,Thompson,isaiahburns@hotmail.com,(953)138-6053x18855,"Owen, Thomas and Perry",Closed - Converted,Web,2024-08-20,Cote d'Ivoire,Lead,Cunningham-Clark,(932)519-2954,https://www.long.info/,Healthcare,Prospect,"8393 Eric Skyway Apt. 522
Chadport, AK 17034",2024-12-11,Saint Helena
00QRNYK3NAO9A55,0016SWHP6PWMLD1,Amy,Myers,rebecca27@hotmail.com,(921)522-0095x6952,Rodriguez-Jackson,Closed - Not Converted,Phone Inquiry,2024-11-03,Tonga,Lead,Williams-Thompson,308.061.6834,https://www.walters.com/,Education,Partner,"Unit 2162 Box 3237
DPO AP 67612",2024-08-07,Oman
00QW9BJ7GADUDNU,001RNOAWTOXXVRU,Bradley,Gilbert,ccampbell@myers.org,476.601.8544x4180,Scott-Hoffman,Working - Contacted,Phone Inquiry,2024-01-30,Syrian Arab Republic,Lead,Jones Ltd,001-761-434-0552x881,https://www.wong.com/,Retail,Vendor,"1246 Harmon Path
Michellestad, OR 96825",2024-02-06,Bolivia
00QZF3SZ8SKOGYR,0012YEU42DN2YOI,Michael,Washington,maryosborn@morris.org,709-930-5869x444,"Day, Brown and Gonzalez",Working - Contacted,Partner Referral,2024-10-15,Swaziland,Lead,Steele-Bennett,001-917-413-9878x6693,http://morgan.biz/,Retail,Vendor,"9751 Walker Lodge Suite 908
Robertfort, IN 74892",2024-08-06,United States Virgin Islands
00Q8X7COL0FP3ZE,001SE3ZCR68PK2R,Nicole,Martinez,katelyn32@rice.com,001-850-232-9321x803,"Wright, Baker and Garcia",Closed - Converted,Partner Referral,2024-07-10,Namibia,Lead,Edwards LLC,492-268-0814x85258,https://www.campbell.org/,Education,Customer,"507 Timothy Manors Apt. 596
Leahborough, SD 52530",2024-09-30,Latvia
00QYEZ1B1O0RTRU,001ZF3GARM89AOS,Robert,Rogers,carolyncook@jackson-briggs.com,001-094-657-1273,Williams Group,Open - Not Contacted,Purchased List,2024-01-10,Puerto Rico,Lead,"Weeks, Flores and Banks",001-188-980-4085x28672,https://www.hoffman.com/,Retail,Partner,"2267 Shannon Corner
Codyberg, OH 01281",2024-11-13,Palestinian Territory
00Q422E5ES3GIO7,001P066GFO5O2NE,Jessica,Cummings,scott27@bean-robinson.com,001-829-626-1793,Brewer-Stephenson,Closed - Converted,Purchased List,2024-10-27,Venezuela,Lead,Webb LLC,(130)409-3489x575,https://castillo.org/,Technology,Prospect,"6065 Harris Street Apt. 168
North Mariah, RI 06463",2024-01-02,Bahrain
00Q4Y6XYLNEUQ4M,001C3IYYQB2W3YX,Michele,Wong,sullivansarah@blair.com,826-092-9676,"Hernandez, Williams and Jimenez",Working - Contacted,Phone Inquiry,2024-05-27,Nigeria,Lead,"Ramirez, Parker and Miller",994.253.8119,http://www.higgins.com/,Healthcare,Partner,"PSC 1483, Box 2540
APO AP 44709",2024-01-24,Kuwait
00Q9XWFJ1ALOA1L,0013GWACSRNP2HX,Alec,Alexander,kelleymartha@rivera-rodgers.com,942.972.8249x40139,"Hampton, Phillips and Moore",Open - Not Contacted,Partner Referral,2024-06-21,Azerbaijan,Lead,Stephens-Miller,+1-855-391-0981x8804,http://www.summers.info/,Finance,Partner,"356 Jennifer Crossing
Millerbury, NY 92140",2024-08-09,United Arab Emirates
00QFL5CPUJTAWU6,001BYNBMH096XAW,Kristy,Valencia,ewilliams@yahoo.com,+1-273-691-4344,"Walker, Merritt and Williams",Closed - Converted,Partner Referral,2024-09-26,Romania,Lead,Turner LLC,349.934.3043x64029,https://villarreal.net/,Finance,Customer,"45028 Gibbs Valley
South Shannonville, VT 78415",2024-08-26,Luxembourg
00QDO72RU19VDUP,001GG94SRS8YBJQ,Brett,Thomas,youngvictoria@hall-hudson.biz,(680)861-6660x400,"Hayes, Watkins and Skinner",Closed - Not Converted,Phone Inquiry,2024-12-19,Korea,Lead,Chan-Miller,264-444-6357x5873,http://diaz.biz/,Education,Vendor,"2034 Melissa Mill
Joseside, MT 25171",2024-12-16,Svalbard & Jan Mayen Islands
00QHKWL1WOID3X7,001MGNJQNUSXCSG,Denise,Lopez,jensenlatoya@yahoo.com,001-921-365-5620x14587,Crawford Inc,Open - Not Contacted,Purchased List,2024-05-12,Slovakia (Slovak Republic),Lead,Monroe-Brooks,4159900356,http://jefferson-king.com/,Healthcare,Vendor,"768 Alvarez Ridge
Lake Alicia, SD 03702",2024-04-13,Northern Mariana Islands
00Q3TTOBIY124JQ,001M1K8JBUQ2JDJ,Ashley,Contreras,reneesanchez@nelson.com,(288)527-8761x4196,Rice Inc,Working - Contacted,Phone Inquiry,2024-05-19,Kenya,Lead,Oconnor-Guzman,+1-592-472-2601,https://hines-lopez.com/,Healthcare,Customer,"77655 Valerie Circle Apt. 442
Claudiafurt, WY 40473",2024-04-22,Nicaragua
00Q2PBRTXRCXNR5,001HL47B8PU5ZIZ,David,Scott,castrokaren@ross-price.com,(392)022-3773,Fisher-Alvarado,Open - Not Contacted,Phone Inquiry,2024-01-25,Cayman Islands,Lead,Wood-Carrillo,001-346-712-1032x1022,https://www.richards.biz/,Education,Vendor,"1369 Tammy Lakes Suite 677
Sweeneyborough, VT 29277",2024-07-17,Japan
00QY5EVKVMZ7BGI,001ZBDKJMQFR3CU,Melissa,Watson,lukediaz@mcdaniel.net,+1-562-494-4977x23110,Nichols LLC,Closed - Not Converted,Partner Referral,2024-10-24,Tuvalu,Lead,Stewart and Sons,(811)601-4535,http://kelley.net/,Technology,Customer,"4874 Jack Springs Apt. 209
Laurenton, KY 46312",2024-05-09,Guernsey
00Q7QYIJFLPVF7F,001PMNII5IU9WF1,Kenneth,Murphy,mary14@meyers.net,7075721900,Patel PLC,Closed - Not Converted,Other,2024-04-22,Guinea-Bissau,Lead,"Smith, Greer and Mcfarland",(169)695-4124x792,http://pruitt.com/,Healthcare,Vendor,"4751 Barton Coves Apt. 073
South Christopherview, MN 55099",2024-12-20,Iran
00QE7I3IH822E22,001A7T0DU937X0C,Zachary,Beasley,mfrey@peters.com,919.896.5382x008,Rodriguez-Brown,Closed - Not Converted,Phone Inquiry,2024-11-21,Brunei Darussalam,Lead,"Peterson, Bryant and Jones",8008862766,https://www.townsend.info/,Finance,Prospect,"885 Peter Islands
Edwinville, NJ 72099",2024-05-23,Uzbekistan
00Q8H7UQF6WW6JR,0016774GLMFVPQ4,Jason,West,pschultz@yahoo.com,001-427-141-5932,Burnett PLC,Open - Not Contacted,Phone Inquiry,2024-07-19,Kyrgyz Republic,Lead,"Larson, King and Parrish",447-089-5315,http://www.walker.com/,Retail,Vendor,"262 Williams Bypass
West Ginamouth, VT 66454",2024-02-14,Mayotte
00Q1HFLE2RA92W6,001CZVC54I7UA6D,Nicholas,Garcia,ashleyclark@gmail.com,(411)791-5656,"Hardin, Graham and Perez",Working - Contacted,Purchased List,2024-11-20,Mexico,Lead,"Gomez, Johnson and Lynch",439-794-4890x9098,http://www.bennett.com/,Technology,Prospect,"082 Karl Crossing Apt. 367
East Billyville, HI 63301",2024-03-24,Falkland Islands (Malvinas)
00QGIIPPGXVJ5VN,001APQ5M0FA6IP4,Amy,Patterson,wagnerjeffrey@taylor-mcdonald.org,3969923543,Lloyd and Sons,Closed - Converted,Phone Inquiry,2024-12-09,Montenegro,Lead,Mcdonald-Rodriguez,+1-644-475-4039x3979,https://park.net/,Manufacturing,Customer,"6176 Jennifer Harbors Apt. 166
East Richardborough, MD 43017",2024-10-17,Tajikistan
00QCYIHYYKU8RF7,001DZM917HDOJHD,Karen,Whitehead,hobrien@yahoo.com,994-733-8001x68255,George-Ramirez,Working - Contacted,Other,2024-08-22,Guinea,Lead,Alvarez Group,562-100-4981,http://herring.com/,Healthcare,Prospect,"3336 Fitzgerald Pines
South Anthonymouth, SC 50840",2024-10-22,Hong Kong
00QDX99DO8DKOJE,001UIIY4GS7O9QJ,Jenna,Russell,dmoore@greene.com,586-001-7756x36211,Morgan Ltd,Working - Contacted,Other,2024-06-27,Indonesia,Lead,Alvarez Ltd,285-443-0249x646,http://flynn.info/,Finance,Partner,"231 Sheila Falls
Michaeltown, PA 24497",2024-07-05,Palau
00Q2UD7N5USXVLF,001HP5RG19XVD2F,Sonya,Ross,jeremyberry@cook.org,879-970-6177x44716,Perry-Pena,Closed - Not Converted,Other,2024-05-25,Iraq,Lead,"Stewart, Robinson and Larsen",(179)940-8151x0203,https://www.harmon-love.net/,Manufacturing,Customer,"521 Miller Fort
Scottport, CO 73902",2024-08-13,Burundi
00QJ7NENIKS218X,001X9V5078JYKYK,Debra,Phillips,mirandacampbell@gmail.com,959-016-8268x0053,Kirby LLC,Open - Not Contacted,Other,2024-09-04,Jordan,Lead,Stanley Inc,649-007-9329x82528,http://www.robertson.biz/,Finance,Prospect,"266 Jeffery Gateway
Burnstown, UT 53313",2024-09-17,Kyrgyz Republic
00QRNW1CW8F8VNA,0011ERRR2VRHWW1,Amy,Cunningham,nsutton@escobar.info,(214)064-6809x0695,"Browning, Cunningham and Martin",Working - Contacted,Other,2024-10-18,Taiwan,Lead,"Kramer, Blackburn and Boone",001-639-637-8160x6820,https://www.torres.com/,Healthcare,Prospect,"8717 Kathleen Loop
West Tiffany, SC 96366",2024-05-28,Saint Pierre and Miquelon
00QWI4V7RIGM760,001ZBDKJMQFR3CU,Molly,Anderson,hingram@boyle.org,001-313-297-3505x029,Vance and Sons,Open - Not Contacted,Partner Referral,2024-10-08,Bangladesh,Lead,Stewart and Sons,(811)601-4535,http://kelley.net/,Technology,Customer,"4874 Jack Springs Apt. 209
Laurenton, KY 46312",2024-05-09,Guernsey
00QPO5UUUC5FUUJ,001APQ5M0FA6IP4,Rachel,Johnson,jason40@gmail.com,001-978-093-8183,"Francis, Chavez and Gaines",Open - Not Contacted,Purchased List,2024-02-20,Saint Barthelemy,Lead,Mcdonald-Rodriguez,+1-644-475-4039x3979,https://park.net/,Manufacturing,Customer,"6176 Jennifer Harbors Apt. 166
East Richardborough, MD 43017",2024-10-17,Tajikistan
00Q64YXPZCHEQYN,001TSVW6MO9AKU0,Mark,Anderson,allenchristina@gmail.com,929.255.3609x066,"Houston, Murillo and Randall",Closed - Converted,Web,2024-12-19,Saudi Arabia,Lead,Moore-Shea,001-708-777-2810x2633,http://roberts.com/,Manufacturing,Customer,"6630 Hunt Camp
Berryburgh, RI 24911",2024-01-31,Portugal
00QXVEMQA2AMN5J,001PU6QDVASGG2M,Mark,Lane,debrapetersen@alvarado-williams.com,(860)748-5758,Hooper-Marquez,Closed - Not Converted,Other,2024-11-22,Algeria,Lead,Schmidt-Austin,920.940.5193,https://www.willis-price.info/,Healthcare,Vendor,"525 Patricia Cape
East Jacob, VA 64262",2024-06-01,South Georgia and the South Sandwich Islands
00QNR4I5A6VXXSK,001N8Y12UU7OVT6,Troy,Morrison,danielle13@davis-gutierrez.com,261-645-5221x903,Dennis-Fisher,Open - Not Contacted,Phone Inquiry,2024-10-24,Moldova,Lead,Fisher Group,298.008.9021x434,http://www.mcdonald.com/,Healthcare,Vendor,"123 Reed Meadow
Kennethfort, VT 37642",2024-11-20,Sri Lanka
00Q2OXCS47P0BIP,001ZBDKJMQFR3CU,Douglas,Clarke,kyleturner@cervantes-wilson.org,(413)496-4360x034,"Stuart, Ramirez and Berry",Working - Contacted,Purchased List,2024-02-22,Oman,Lead,Stewart and Sons,(811)601-4535,http://kelley.net/,Technology,Customer,"4874 Jack Springs Apt. 209
Laurenton, KY 46312",2024-05-09,Guernsey
00QM0L0ZCWGQLOG,001SEFMU4YOLF8C,Cynthia,Montes,stephen56@gmail.com,396-046-7400x237,Cisneros-Weaver,Open - Not Contacted,Other,2024-03-07,Singapore,Lead,Larson Ltd,369-154-1551,http://ballard.com/,Retail,Customer,"239 Porter Vista
Yateschester, AK 84556",2024-03-07,Angola
00Q5VQPPOSPZ558,001EFFFJYOGM0D9,Christopher,Miller,mary43@gmail.com,(117)023-4301x593,Hahn-Diaz,Closed - Converted,Other,2024-10-05,France,Lead,"Griffin, Rodriguez and Guerrero",138-006-7459,https://hobbs-powell.com/,Retail,Prospect,"635 David Highway
South Andrew, MI 96093",2024-03-05,Papua New Guinea
00QJ1VYNUPG8ETH,001478BDXGUQYNH,Vincent,Stevens,ejackson@williams.info,001-801-913-2644x03377,Bradley-Hale,Working - Contacted,Phone Inquiry,2024-02-13,Saint Helena,Lead,Williams LLC,093.467.4159,http://young.com/,Healthcare,Vendor,"85252 Nathan Curve Suite 551
Petersland, OH 97594",2024-09-01,Libyan Arab Jamahiriya
00Q8I7JSZ6N6O2L,00170301OAK50E9,Robert,Robinson,james04@morrow.com,518-660-5282,"Pham, Hall and Robbins",Working - Contacted,Other,2024-11-28,Denmark,Lead,"Williams, Thompson and Washington",+1-424-355-7505x254,http://carrillo.com/,Retail,Prospect,"93632 Walton Brooks Apt. 939
South Patricia, GA 55326",2024-03-18,Argentina
00QL6H2OS771Q2V,001ZF3GARM89AOS,Kyle,Russo,zcrawford@jones.biz,859-918-8481x874,Fleming Group,Working - Contacted,Purchased List,2024-01-21,Central African Republic,Lead,"Weeks, Flores and Banks",001-188-980-4085x28672,https://www.hoffman.com/,Retail,Partner,"2267 Shannon Corner
Codyberg, OH 01281",2024-11-13,Palestinian Territory
00Q2WET930K3LIZ,001P1IK7PQCC7CP,Mary,Murray,qmcdonald@gmail.com,+1-299-275-1461x934,Williams and Sons,Closed - Not Converted,Web,2024-03-15,Georgia,Lead,Hill PLC,746-514-4394,https://blake-burns.com/,Manufacturing,Prospect,"49745 Smith Street
Lake Stephanie, UT 48003",2024-11-08,Swaziland
00QU7ZSID7K9ZK3,00148IOZ5BRBRF8,Justin,Hebert,michael65@cooley.org,825-772-8479,Meyer Inc,Working - Contacted,Web,2024-10-14,Grenada,Lead,"Armstrong, Mcdaniel and Lee",424-260-3912x214,http://young.biz/,Finance,Vendor,"728 James Brook Suite 446
Julianborough, RI 73303",2024-05-16,United States Virgin Islands
00QUF7DIPDHREZ3,001944UZRAP9Q0H,Angela,Mathis,brendasantos@coleman-miller.com,001-261-425-8680,"Marshall, Griffin and Campos",Closed - Not Converted,Phone Inquiry,2024-11-24,Panama,Lead,Coleman-Love,+1-086-320-5422x74407,https://morales.biz/,Education,Vendor,"2389 Melissa Rapids
East Rebeccaside, NM 67612",2024-01-21,Switzerland
