Lead ID,Account ID,First Name,Last Name,Email,Phone,Company,Lead Status,Lead Source,Created Date,Country
00Q9UZQS808J66E,001EFFFJYOGM0D9,Trevor,Bradshaw,wendyfischer@gmail.com,(935)960-0132x2966,Alexander and Sons,Closed - Converted,Partner Referral,2024-08-21,Cook Islands
00QCCZ9FREV0KZG,001ZJ7MU65KC1SZ,Brandon,Rubio,webbtonya@hotmail.com,(406)709-6026,Allen Ltd,Closed - Not Converted,Other,2024-02-08,Macedonia
00QFNE3AXRNV5FA,001MM3030266T5L,Eric,Deleon,ericaguirre@riggs.net,141-435-0257x3923,Hull-Brown,Working - Contacted,Purchased List,2024-01-01,Malawi
00Q2WHM2YSW8W1X,001W3QNKHK6B9BA,Brian,Gilbert,becky96@hotmail.com,001-256-639-1784x902,"Henderson, Turner and Gonzalez",Closed - Converted,Other,2024-12-03,Ghana
00QBND6FSH4MMKM,001XZ8TMUAP29JA,Michelle,Long,richardsolis@yahoo.com,+1-628-280-1187x93426,Velasquez PLC,Closed - Not Converted,Phone Inquiry,2024-02-08,Swaziland
00Q35RSEJY162QS,001S1CYGP4DDNG9,Cheryl,Wang,tlarson@hotmail.com,001-283-267-9174x460,Ryan-Fletcher,Closed - Converted,Web,2024-01-14,Portugal
00Q7MWB1GF7TSWQ,001MM3030266T5L,Samantha,Kennedy,epalmer@swanson.info,583.783.6914,Brown-Thompson,Open - Not Contacted,Phone Inquiry,2024-09-17,Hong Kong
00QGA9PZ1430AQ8,001N2W3PT3I6F20,Antonio,Lane,kbraun@hotmail.com,+1-949-172-9214,"Barr, Rose and Holmes",Open - Not Contacted,Partner Referral,2024-11-22,Mauritania
00QS0DCHE2EQY5B,001XT8SYTUOLA83,Angela,Cordova,michael66@gmail.com,009.323.1682,Parker Inc,Working - Contacted,Purchased List,2024-11-08,Switzerland
00Q63QT4EQ0DLZ5,001X9V5078JYKYK,Alison,Rodriguez,wholland@gmail.com,442-115-7396,Nelson Group,Closed - Not Converted,Web,2024-08-10,New Zealand
00QWV7CQ8NFMRMY,001D8T0SB01X4FT,Jim,Mosley,jenna78@ruiz-moore.biz,5496591468,Reyes LLC,Closed - Not Converted,Web,2024-09-14,Guinea
00Q7J479CRH169I,0010WWL2KIRWSNE,John,Salinas,adriennebrown@graham-johnson.com,1188681590,"Hawkins, Boyer and Benton",Closed - Converted,Other,2024-05-28,New Zealand
00QSZCJRY6BQKZ0,001C3IYYQB2W3YX,Kaitlin,Waters,rebeccacordova@gmail.com,176-282-3073x08807,Warren-Schmitt,Open - Not Contacted,Phone Inquiry,2024-02-04,Panama
00QPRJE94OX2E5B,001S1CYGP4DDNG9,Harold,Boyd,amanda72@gmail.com,001-168-009-7879x020,"Brennan, Edwards and Williams",Open - Not Contacted,Phone Inquiry,2024-07-29,Central African Republic
00QBMP55EJK0KKG,0016I3LVQQHPBC9,Roberto,Ray,xgarrett@gmail.com,942-008-1402,Mason Inc,Working - Contacted,Purchased List,2024-07-30,Macedonia
00Q7VGUKLGY86SB,001W6GECZNTRYYL,Sophia,Rogers,christian39@rojas.biz,(113)930-7025x29562,Meza-Shaw,Closed - Converted,Web,2024-11-28,American Samoa
00QU2E28T1WAWT3,0010Q22219SK1VA,Theresa,George,kcarter@lopez.com,099.224.1322x83616,Dixon-Atkins,Working - Contacted,Other,2024-07-08,Ghana
00QZP2IUNQDXT45,0012YEU42DN2YOI,Nathan,Ross,wrightanna@hotmail.com,+1-111-563-0674x691,Warren-Crawford,Open - Not Contacted,Phone Inquiry,2024-07-09,Uganda
00QYS3D6DRTT2ZU,001M1K8JBUQ2JDJ,Emily,Maddox,hesterjason@hotmail.com,+1-816-540-3343x507,Black PLC,Working - Contacted,Partner Referral,2024-03-30,Tuvalu
00QTXT9Y2L2HE6L,001KCN48RN2CR5Y,Heather,Griffin,flee@smith.com,(538)710-8054,English-Martinez,Working - Contacted,Purchased List,2024-07-21,Samoa
00Q03CPGE64SPBD,001M1K8JBUQ2JDJ,Tanner,Rodriguez,fwright@gmail.com,001-018-168-1634,Sanders-Fletcher,Closed - Converted,Web,2024-01-18,San Marino
00QQ4OSNOOENST4,001EP89O429SJBH,Charles,Thompson,isaiahburns@hotmail.com,(953)138-6053x18855,"Owen, Thomas and Perry",Closed - Converted,Web,2024-08-20,Cote d'Ivoire
00QRNYK3NAO9A55,0016SWHP6PWMLD1,Amy,Myers,rebecca27@hotmail.com,(921)522-0095x6952,Rodriguez-Jackson,Closed - Not Converted,Phone Inquiry,2024-11-03,Tonga
00QW9BJ7GADUDNU,001RNOAWTOXXVRU,Bradley,Gilbert,ccampbell@myers.org,476.601.8544x4180,Scott-Hoffman,Working - Contacted,Phone Inquiry,2024-01-30,Syrian Arab Republic
00QZF3SZ8SKOGYR,0012YEU42DN2YOI,Michael,Washington,maryosborn@morris.org,709-930-5869x444,"Day, Brown and Gonzalez",Working - Contacted,Partner Referral,2024-10-15,Swaziland
00Q8X7COL0FP3ZE,001SE3ZCR68PK2R,Nicole,Martinez,katelyn32@rice.com,001-850-232-9321x803,"Wright, Baker and Garcia",Closed - Converted,Partner Referral,2024-07-10,Namibia
00QYEZ1B1O0RTRU,001ZF3GARM89AOS,Robert,Rogers,carolyncook@jackson-briggs.com,001-094-657-1273,Williams Group,Open - Not Contacted,Purchased List,2024-01-10,Puerto Rico
00Q422E5ES3GIO7,001P066GFO5O2NE,Jessica,Cummings,scott27@bean-robinson.com,001-829-626-1793,Brewer-Stephenson,Closed - Converted,Purchased List,2024-10-27,Venezuela
00Q4Y6XYLNEUQ4M,001C3IYYQB2W3YX,Michele,Wong,sullivansarah@blair.com,826-092-9676,"Hernandez, Williams and Jimenez",Working - Contacted,Phone Inquiry,2024-05-27,Nigeria
00Q9XWFJ1ALOA1L,0013GWACSRNP2HX,Alec,Alexander,kelleymartha@rivera-rodgers.com,942.972.8249x40139,"Hampton, Phillips and Moore",Open - Not Contacted,Partner Referral,2024-06-21,Azerbaijan
00QFL5CPUJTAWU6,001BYNBMH096XAW,Kristy,Valencia,ewilliams@yahoo.com,+1-273-691-4344,"Walker, Merritt and Williams",Closed - Converted,Partner Referral,2024-09-26,Romania
00QDO72RU19VDUP,001GG94SRS8YBJQ,Brett,Thomas,youngvictoria@hall-hudson.biz,(680)861-6660x400,"Hayes, Watkins and Skinner",Closed - Not Converted,Phone Inquiry,2024-12-19,Korea
00QHKWL1WOID3X7,001MGNJQNUSXCSG,Denise,Lopez,jensenlatoya@yahoo.com,001-921-365-5620x14587,Crawford Inc,Open - Not Contacted,Purchased List,2024-05-12,Slovakia (Slovak Republic)
00Q3TTOBIY124JQ,001M1K8JBUQ2JDJ,Ashley,Contreras,reneesanchez@nelson.com,(288)527-8761x4196,Rice Inc,Working - Contacted,Phone Inquiry,2024-05-19,Kenya
00Q2PBRTXRCXNR5,001HL47B8PU5ZIZ,David,Scott,castrokaren@ross-price.com,(392)022-3773,Fisher-Alvarado,Open - Not Contacted,Phone Inquiry,2024-01-25,Cayman Islands
00QY5EVKVMZ7BGI,001ZBDKJMQFR3CU,Melissa,Watson,lukediaz@mcdaniel.net,+1-562-494-4977x23110,Nichols LLC,Closed - Not Converted,Partner Referral,2024-10-24,Tuvalu
00Q7QYIJFLPVF7F,001PMNII5IU9WF1,Kenneth,Murphy,mary14@meyers.net,7075721900,Patel PLC,Closed - Not Converted,Other,2024-04-22,Guinea-Bissau
00QE7I3IH822E22,001A7T0DU937X0C,Zachary,Beasley,mfrey@peters.com,919.896.5382x008,Rodriguez-Brown,Closed - Not Converted,Phone Inquiry,2024-11-21,Brunei Darussalam
00Q8H7UQF6WW6JR,0016774GLMFVPQ4,Jason,West,pschultz@yahoo.com,001-427-141-5932,Burnett PLC,Open - Not Contacted,Phone Inquiry,2024-07-19,Kyrgyz Republic
00Q1HFLE2RA92W6,001CZVC54I7UA6D,Nicholas,Garcia,ashleyclark@gmail.com,(411)791-5656,"Hardin, Graham and Perez",Working - Contacted,Purchased List,2024-11-20,Mexico
00QGIIPPGXVJ5VN,001APQ5M0FA6IP4,Amy,Patterson,wagnerjeffrey@taylor-mcdonald.org,3969923543,Lloyd and Sons,Closed - Converted,Phone Inquiry,2024-12-09,Montenegro
00QCYIHYYKU8RF7,001DZM917HDOJHD,Karen,Whitehead,hobrien@yahoo.com,994-733-8001x68255,George-Ramirez,Working - Contacted,Other,2024-08-22,Guinea
00QDX99DO8DKOJE,001UIIY4GS7O9QJ,Jenna,Russell,dmoore@greene.com,586-001-7756x36211,Morgan Ltd,Working - Contacted,Other,2024-06-27,Indonesia
00Q2UD7N5USXVLF,001HP5RG19XVD2F,Sonya,Ross,jeremyberry@cook.org,879-970-6177x44716,Perry-Pena,Closed - Not Converted,Other,2024-05-25,Iraq
00QJ7NENIKS218X,001X9V5078JYKYK,Debra,Phillips,mirandacampbell@gmail.com,959-016-8268x0053,Kirby LLC,Open - Not Contacted,Other,2024-09-04,Jordan
00QRNW1CW8F8VNA,0011ERRR2VRHWW1,Amy,Cunningham,nsutton@escobar.info,(214)064-6809x0695,"Browning, Cunningham and Martin",Working - Contacted,Other,2024-10-18,Taiwan
00QWI4V7RIGM760,001ZBDKJMQFR3CU,Molly,Anderson,hingram@boyle.org,001-313-297-3505x029,Vance and Sons,Open - Not Contacted,Partner Referral,2024-10-08,Bangladesh
00QPO5UUUC5FUUJ,001APQ5M0FA6IP4,Rachel,Johnson,jason40@gmail.com,001-978-093-8183,"Francis, Chavez and Gaines",Open - Not Contacted,Purchased List,2024-02-20,Saint Barthelemy
00Q64YXPZCHEQYN,001TSVW6MO9AKU0,Mark,Anderson,allenchristina@gmail.com,929.255.3609x066,"Houston, Murillo and Randall",Closed - Converted,Web,2024-12-19,Saudi Arabia
00QXVEMQA2AMN5J,001PU6QDVASGG2M,Mark,Lane,debrapetersen@alvarado-williams.com,(860)748-5758,Hooper-Marquez,Closed - Not Converted,Other,2024-11-22,Algeria
00QNR4I5A6VXXSK,001N8Y12UU7OVT6,Troy,Morrison,danielle13@davis-gutierrez.com,261-645-5221x903,Dennis-Fisher,Open - Not Contacted,Phone Inquiry,2024-10-24,Moldova
00Q2OXCS47P0BIP,001ZBDKJMQFR3CU,Douglas,Clarke,kyleturner@cervantes-wilson.org,(413)496-4360x034,"Stuart, Ramirez and Berry",Working - Contacted,Purchased List,2024-02-22,Oman
00QM0L0ZCWGQLOG,001SEFMU4YOLF8C,Cynthia,Montes,stephen56@gmail.com,396-046-7400x237,Cisneros-Weaver,Open - Not Contacted,Other,2024-03-07,Singapore
00Q5VQPPOSPZ558,001EFFFJYOGM0D9,Christopher,Miller,mary43@gmail.com,(117)023-4301x593,Hahn-Diaz,Closed - Converted,Other,2024-10-05,France
00QJ1VYNUPG8ETH,001478BDXGUQYNH,Vincent,Stevens,ejackson@williams.info,001-801-913-2644x03377,Bradley-Hale,Working - Contacted,Phone Inquiry,2024-02-13,Saint Helena
00Q8I7JSZ6N6O2L,00170301OAK50E9,Robert,Robinson,james04@morrow.com,518-660-5282,"Pham, Hall and Robbins",Working - Contacted,Other,2024-11-28,Denmark
00QL6H2OS771Q2V,001ZF3GARM89AOS,Kyle,Russo,zcrawford@jones.biz,859-918-8481x874,Fleming Group,Working - Contacted,Purchased List,2024-01-21,Central African Republic
00Q2WET930K3LIZ,001P1IK7PQCC7CP,Mary,Murray,qmcdonald@gmail.com,+1-299-275-1461x934,Williams and Sons,Closed - Not Converted,Web,2024-03-15,Georgia
00QU7ZSID7K9ZK3,00148IOZ5BRBRF8,Justin,Hebert,michael65@cooley.org,825-772-8479,Meyer Inc,Working - Contacted,Web,2024-10-14,Grenada
00QUF7DIPDHREZ3,001944UZRAP9Q0H,Angela,Mathis,brendasantos@coleman-miller.com,001-261-425-8680,"Marshall, Griffin and Campos",Closed - Not Converted,Phone Inquiry,2024-11-24,Panama
00QFJHV35OPRSY2,00148IOZ5BRBRF8,Anthony,House,paulamcknight@wells.com,+1-051-907-4489,Mitchell-Mahoney,Closed - Not Converted,Other,2024-10-24,Chad
00QK3CTB3V4KFRB,001HL47B8PU5ZIZ,Scott,Campos,melissa16@rivera.info,8765123593,"Rivera, Larson and Carlson",Closed - Converted,Partner Referral,2024-10-03,Tunisia
00QAZ6F2POV5UW7,001PMNII5IU9WF1,Gregory,Martinez,carlos10@yahoo.com,+1-657-062-0137x3140,"Nicholson, Mayer and Walters",Working - Contacted,Web,2024-06-01,Afghanistan
00QVOR5KEXAZS57,001P46MNTVI38RB,Jennifer,Kramer,eric73@page-peck.com,+1-885-009-1276x205,"Dixon, Torres and King",Working - Contacted,Partner Referral,2024-11-25,Saint Vincent and the Grenadines
00QZORNPY7BNYCO,00119625XNPLFAW,Tara,Miller,ibarrabarbara@hotmail.com,(382)748-1254,Moore-Villegas,Working - Contacted,Other,2024-09-12,Colombia
00QDATWIK65EUOF,001BYNBMH096XAW,Karen,Ramirez,lisa86@soto-ramos.org,001-896-926-5284x671,Kaufman and Sons,Working - Contacted,Web,2024-11-15,Ecuador
00Q1R7YOKD7J2B5,001EFFFJYOGM0D9,Gina,Marshall,bettylee@zhang.info,483.372.6947,"May, Nelson and Wright",Open - Not Contacted,Web,2024-12-14,New Zealand
00QVSSBCXBAYYEH,001SEFMU4YOLF8C,Steven,Ballard,vmcconnell@hotmail.com,001-486-461-9930x21155,"Hernandez, Young and Shannon",Working - Contacted,Web,2024-02-03,Trinidad and Tobago
00Q3ZERRIM2AN69,001ZF3GARM89AOS,Reginald,Lopez,johnguzman@hotmail.com,+1-879-851-4034,Zamora-Norman,Open - Not Contacted,Other,2024-08-07,Guinea
00QECB4FTOO8YO5,001ZF3GARM89AOS,Bradley,Boyd,dawn18@gmail.com,933.977.9522x4541,Williams Group,Working - Contacted,Purchased List,2024-01-18,Hong Kong
00QYZ1S5HJHPD3F,001EFFFJYOGM0D9,Jennifer,Burton,mking@gmail.com,1075969884,Walker-Santos,Open - Not Contacted,Partner Referral,2024-05-24,Japan
00QCRURXSQL0IZ7,00148IOZ5BRBRF8,Timothy,Castillo,stephaniehuang@yahoo.com,283.367.1656x600,"Cochran, Eaton and Graham",Closed - Not Converted,Phone Inquiry,2024-02-27,Netherlands
00QNNRIWO4GU2KW,001RNOAWTOXXVRU,Matthew,Mays,iruiz@chavez-ware.com,437.916.9795x46280,"Lee, Harper and Buchanan",Working - Contacted,Partner Referral,2024-07-03,Kenya
00QUO66O5BH51P3,0015Q5HH2LI42XO,Gregory,Rodriguez,jamiejackson@barnes.biz,907-651-6121,"Curry, Scott and Atkinson",Closed - Not Converted,Purchased List,2024-03-08,Wallis and Futuna
00QOOAETX724CO2,001N8Y12UU7OVT6,Paul,Brady,icline@jackson-williams.com,682-124-1102x2853,Medina-Malone,Working - Contacted,Other,2024-04-19,Namibia
00Q8VWZ0T0OQWJK,0010WWL2KIRWSNE,Nicholas,Parks,cynthiacarlson@gmail.com,617.500.8491x4231,"Yoder, Hicks and Cook",Working - Contacted,Partner Referral,2024-02-26,Cambodia
00QWEWWKQGSU7OE,001EP89O429SJBH,Frances,Fisher,shermanjames@yahoo.com,801-463-4085,Owens Inc,Closed - Not Converted,Partner Referral,2024-11-28,Rwanda
00Q0P7VWJAE04IH,001A7T0DU937X0C,Marilyn,Rios,woodjanet@hotmail.com,001-869-357-1146x621,"Garza, Robinson and Ward",Closed - Converted,Phone Inquiry,2024-12-13,Congo
00Q5FSKH022BDCQ,001N2W3PT3I6F20,Amanda,Arnold,alexis92@yahoo.com,+1-042-362-4872,"Klein, Liu and Garrison",Working - Contacted,Partner Referral,2024-09-17,Monaco
00QD1RW016VJQ3F,001XZ8TMUAP29JA,Theresa,Hopkins,nathan32@perkins.com,656-413-6180x818,"Peterson, Clarke and Sanchez",Working - Contacted,Partner Referral,2024-09-24,Lebanon
00QMP03FGSDYBA1,001APJSX0LETACF,Whitney,Diaz,lthompson@yahoo.com,109.529.1532,Jimenez-Mayer,Closed - Converted,Web,2024-09-28,Thailand
00QXH8ZS5S7PSXE,001S1CYGP4DDNG9,Charles,Austin,davisjoy@hill.com,(156)576-5547x39983,"Harvey, Weeks and Edwards",Working - Contacted,Web,2024-04-06,Comoros
00QDPVA0IFSSW0B,001MGNJQNUSXCSG,Rachel,Paul,ryanayala@hotmail.com,(616)480-1864,"Cohen, Williams and Miller",Closed - Converted,Other,2024-03-21,Liechtenstein
00Q4WTLYI0MU0VK,00170301OAK50E9,Jason,Brown,ericsteele@yahoo.com,883-743-3903,"Thomas, Clarke and Gray",Closed - Converted,Partner Referral,2024-01-08,United States of America
00QUK9T5SU6XB5X,001SX1N5MRO2TA5,Nicole,Baker,hgarcia@yahoo.com,275-899-6822x65347,Hawkins-Ryan,Closed - Not Converted,Purchased List,2024-12-10,Uzbekistan
00QMKTE4JZ7LA56,001SE3ZCR68PK2R,Lori,Fox,bryantchristina@gmail.com,(906)877-2068,Parrish Group,Working - Contacted,Other,2024-04-03,Timor-Leste
