Contact ID,First Name,Last Name,Email,Phone,Company,Lead Status,Lead Source,Created Date,Country
0035AU260WPHZUK,Lauren,Garcia,lewisrachel@yahoo.com,+1-539-295-6362x3150,Wilson LLC,Closed - Converted,Web,2024-07-29,Algeria
0032GY549WFWK3L,Charles,Hall,ortizpatricia@yahoo.com,338.470.4605x019,"Glenn, Davis and Pennington",Working - Contacted,Web,2024-03-14,Rwanda
003TME7WEVE3ER4,Peter,Hudson,swalker@hotmail.com,716.038.8709x3059,"Mclaughlin, Jones and Johnston",Working - Contacted,Phone Inquiry,2024-09-04,Barbados
003QJFWZNPQT3JV,Benjamin,Castillo,ricky18@hotmail.com,1049652204,Pitts-Wolf,Closed - Converted,Other,2024-04-19,Czech Republic
003YI2OUTI5VDN2,Eric,Lee,adamsvincent@hotmail.com,+1-075-670-2336,Jones-Barron,Closed - Not Converted,Other,2024-10-13,Germany
003BFDQT4I9LV8E,Joshua,Arias,barberdawn@yahoo.com,001-004-942-8842x0539,Harrison Inc,Working - Contacted,Partner Referral,2024-02-09,Nepal
003JR1DMLOC929V,David,Jones,james00@yahoo.com,212-855-4005x5364,Burke Ltd,Open - Not Contacted,Phone Inquiry,2024-08-29,Indonesia
003O039QW7Y7MCI,Walter,Miller,davisjacob@gmail.com,647.939.9842,Casey PLC,Working - Contacted,Phone Inquiry,2024-05-21,Korea
00361TSQAUN5QKP,Chelsea,Bonilla,rhodesbradley@hotmail.com,089-507-3464x1253,"Nichols, Rojas and James",Open - Not Contacted,Other,2024-06-30,Christmas Island
003FHSV9ARF20QZ,Daniel,Collins,david32@jackson.com,+1-368-350-6583x8779,Murray-Walker,Open - Not Contacted,Other,2024-03-18,Togo
003MCE7G2EMFTX8,Jonathan,Dickerson,paul03@ward-owen.com,+1-641-735-5120,Noble Ltd,Working - Contacted,Other,2024-04-15,United States Virgin Islands
00346AS9FY4GD34,Carrie,Gates,ppowers@gmail.com,001-228-483-8877x90417,Humphrey PLC,Working - Contacted,Partner Referral,2024-03-15,Bouvet Island (Bouvetoya)
003NX1MM6HW50J5,Sandra,Lewis,elliottjulie@yahoo.com,001-548-001-6891x73416,"Stanton, Rodriguez and Jones",Closed - Not Converted,Web,2024-07-28,Saint Pierre and Miquelon
003CR8SANK7C8L3,Savannah,Gray,kmoran@hernandez.com,+1-044-136-8679x4719,Pacheco-Hoover,Open - Not Contacted,Web,2024-06-03,Mexico
003AVNHZ1ZANX0S,Bryan,Cervantes,allison10@hotmail.com,308-467-3993,Wood Inc,Open - Not Contacted,Other,2024-10-11,Isle of Man
003IF9H70YV9Y25,Jennifer,Horton,luceroshirley@gmail.com,001-730-577-3773x4013,Robertson Inc,Working - Contacted,Purchased List,2024-12-02,Estonia
003HIAJFC0CVX4S,Jason,Charles,andersonnathaniel@hotmail.com,375.500.3380,"Mccormick, Smith and Daniel",Working - Contacted,Purchased List,2024-03-19,Korea
003LMJTL5L4GBNJ,Joyce,Walls,michaellopez@gardner.net,+1-096-510-9852,"Bailey, Patton and Barnes",Closed - Not Converted,Partner Referral,2024-08-22,Andorra
0030AL190A2ZXYJ,Megan,Mullins,danielmolina@davila.com,817-023-5708,Mcbride-Higgins,Closed - Converted,Partner Referral,2024-08-27,Tuvalu
003FD4VAC4TBJA7,Charles,Shields,stevengarcia@hotmail.com,(708)338-9504x53149,"Hoffman, Reeves and Martinez",Open - Not Contacted,Other,2024-07-30,Central African Republic
003X3IE1N1IWDDA,Nina,Bell,julie10@wilkerson-becker.info,434-661-5922x126,Davis LLC,Closed - Converted,Web,2024-10-26,Oman
0032JL464GFAG8J,Renee,Huffman,amybrooks@clark-raymond.com,439.505.8691x66092,Taylor Inc,Working - Contacted,Web,2024-10-04,Myanmar
0038NEF9UYF7HTN,Melissa,Bentley,ugriffith@hotmail.com,+1-239-880-3968x68613,Bass PLC,Working - Contacted,Phone Inquiry,2024-07-31,Norway
003BJ9CR5VP5QBC,Ashley,Taylor,nicoledecker@gomez-cobb.com,+1-217-990-0354x414,Costa-Allen,Working - Contacted,Phone Inquiry,2024-06-06,Guadeloupe
003Z3N65HKED7MB,David,Solis,cindynicholson@smith.com,001-557-214-3813x1132,"Allen, Smith and Smith",Open - Not Contacted,Other,2024-09-02,Belarus
003AP24FPG8BOJN,Haley,Johnson,zdickerson@yahoo.com,518-630-2422,Henry LLC,Open - Not Contacted,Phone Inquiry,2024-09-27,Jersey
00364WJXACU27RE,Jacqueline,Lyons,gjoseph@reyes.com,+1-352-301-8576x65184,"Warren, Young and Williams",Closed - Not Converted,Partner Referral,2024-11-05,Gambia
0030WE20N5M97JW,Michael,Bond,charlotte14@gmail.com,(512)336-5153x169,Pierce and Sons,Closed - Not Converted,Phone Inquiry,2024-09-22,Grenada
00374LAW8VC8IGZ,Jason,Freeman,samanthabauer@hunter.com,(516)034-2325x970,Reyes Group,Working - Contacted,Web,2024-03-31,Bhutan
003VCL33U9JMVE7,Laura,Thomas,lorraine19@nguyen.com,978.117.4919x414,"Scott, Baker and Spencer",Closed - Converted,Other,2024-01-13,Andorra
003L8H6FQTSVMOJ,Melissa,Rogers,rfox@gmail.com,(544)967-0604x0463,"Smith, Parks and Johnson",Closed - Converted,Phone Inquiry,2024-10-07,Turks and Caicos Islands
003FTFTID7RE0FW,Jesse,Lopez,jessica24@hotmail.com,444.132.6683x593,Green-Sullivan,Open - Not Contacted,Phone Inquiry,2024-01-15,India
003771IM12218W0,Nicole,Scott,sara11@gmail.com,+1-048-840-3652,"Bowers, King and Greene",Closed - Not Converted,Partner Referral,2024-07-17,Palestinian Territory
003QUC9OYKM3X6S,Robert,Phillips,hhill@hernandez.biz,222.937.7286x14494,"Haynes, Leon and Mccormick",Open - Not Contacted,Phone Inquiry,2024-04-25,Christmas Island
003REYJY6XK8NCO,Hayley,Rhodes,wlewis@yahoo.com,(976)746-8379,Gonzalez Group,Open - Not Contacted,Partner Referral,2024-05-15,Myanmar
003R1N8KXRNW3FY,Sarah,Harrison,gonzalezthomas@nixon.com,192.381.9631x8235,"Austin, Green and Kaiser",Closed - Converted,Other,2024-08-03,Argentina
003FT41FOVJTB4V,Bradley,Owen,vickie40@yahoo.com,361.116.8839x0635,Sanchez Group,Open - Not Contacted,Purchased List,2024-06-29,Malaysia
0030K5KHTKYXB5V,Edwin,Wolf,jchandler@gmail.com,4604835848,Smith LLC,Closed - Not Converted,Other,2024-04-07,Lesotho
0037GTPOY4BAN42,Robert,Williams,michaelmatthews@hotmail.com,148.264.6306,Haley Group,Closed - Converted,Phone Inquiry,2024-07-05,Bahamas
003P52GPTC8MVXW,Dawn,Wilson,cheryljones@yahoo.com,+1-545-071-9325x82407,Herman-Bates,Working - Contacted,Web,2024-03-29,Pakistan
003FKF7ZNTB68OT,Marc,Guerrero,john30@trevino.com,250.889.5313x0549,Davis Ltd,Closed - Converted,Purchased List,2024-12-16,Rwanda
003Y3I98HNKE39R,Chris,Garrett,ebuckley@phillips.com,(607)852-6943,Blanchard Inc,Working - Contacted,Partner Referral,2024-04-17,Ethiopia
003YNLJ3HOXC819,Courtney,Long,yblair@house-garner.com,741-390-1631x92563,Baker-Patel,Closed - Not Converted,Partner Referral,2024-12-09,Czech Republic
003XEWCRB7W1N8Q,Christopher,Daniels,scottgonzalez@hotmail.com,538.265.9436x374,Nelson LLC,Closed - Not Converted,Partner Referral,2024-09-26,Panama
0030PFA03ESIS92,Lisa,Holt,jenniferpruitt@hotmail.com,+1-715-872-0190x80660,"Wright, Morrison and Lopez",Closed - Converted,Partner Referral,2024-02-19,Congo
003LBPNR0XB49OX,Scott,Massey,graymichelle@yahoo.com,9705889556,Brown and Sons,Closed - Converted,Partner Referral,2024-11-12,Northern Mariana Islands
003WRUPY2Y4K0TR,Richard,Brown,smithtiffany@hotmail.com,279.343.7981,Hart Ltd,Open - Not Contacted,Purchased List,2024-07-29,Liberia
003SE4WE8ZFNATE,Bernard,Hill,smithsamantha@hotmail.com,886.090.1173,"Martinez, Potter and Ferguson",Working - Contacted,Partner Referral,2024-11-14,Kyrgyz Republic
